"score","FullName","Extension","Length","LastWriteTime"
"70","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 Audit Master Document-1.xlsx",".xlsx","302538","3/22/2026 12:26:55 PM"
"70","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 Audit Master Document as of 2-3-20 at 2pm.xlsx",".xlsx","312047","3/22/2026 12:26:55 PM"
"70","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 Audit Master Document as of 1-30-20 at 5-50pm.xlsx",".xlsx","310731","3/22/2026 12:26:55 PM"
"70","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 Audit Master Document as of 1-30-20 at 4pm.xlsx",".xlsx","310732","3/22/2026 12:26:55 PM"
"70","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 Audit Master Document as of 1-30-20 at 3pm.xlsx",".xlsx","309810","3/22/2026 12:26:55 PM"
"70","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 Audit Master Document as of 1-30-20 at 1-20pm.xlsx",".xlsx","309888","3/22/2026 12:26:55 PM"
"70","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 Audit Master Document as of 1-29-20 at 4-30pm.xlsx",".xlsx","308567","3/22/2026 12:26:55 PM"
"70","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 ALL Audit Master Document as of 2-3-20 at 5pm.xlsx",".xlsx","312408","3/22/2026 12:26:55 PM"
"70","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020 ALL Audit Master Document as of 2-3-20 at 2pm.xlsx",".xlsx","312042","3/22/2026 12:26:55 PM"
"70","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\2020  TWC Audit Master Document as of 2-3-20 at 5pm.xlsx",".xlsx","312041","3/22/2026 12:26:55 PM"
"70","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\2020 Audit Master Document-1.xlsx",".xlsx","302538","3/22/2026 12:26:51 PM"
"70","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\2020 Audit Master Document as of 2-3-20 at 2pm.xlsx",".xlsx","312047","3/22/2026 12:26:51 PM"
