"database","table","rowCount","status"
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Advertising",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Advertising'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Business Contacts",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Business Contacts'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Class Session Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Class Session Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Class Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Class Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","ClassBooks",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'ClassBooks'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Company Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Company Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Consulting Payment",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Consulting Payment'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Consulting Projects",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Consulting Projects'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Corporate Training Payments",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Corporate Training Payments'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Corporate Training Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Corporate Training Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","CorporateTrainingExpenses",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'CorporateTrainingExpenses'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Correspondence with Students","521","ok"
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Counselor Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Counselor Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","CourseBooks",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'CourseBooks'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","CourseEquipment",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'CourseEquipment'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","DateDayText",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'DateDayText'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Employee Payment Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Employee Payment Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Employee Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Employee Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","EnrollmentExpense",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'EnrollmentExpense'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","EnrollmentPayment",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'EnrollmentPayment'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Equipment",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Equipment'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Expenses",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Expenses'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","FinalEnrollment Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'FinalEnrollment Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Financing Programs Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Financing Programs Table'."""
